Time,Tube inlet temperature,Tube outlet temperature,Predicted outlet temperature
1,198.2,225,225.24
2,198.2,225,225.57
3,198.1,224.9,225.27
4,198.2,224.8,225.37
5,198,224.9,225.3
6,198,225.1,225.11
7,198.2,225,225.31
8,198,224.8,225.24
9,198.4,224.9,225.44
10,198.2,224.8,225.24
11,198,224.8,225.3
12,198.1,224.7,225.34
13,198.2,224.8,225.18
14,198.2,224.7,225.21
30,198,224.7,225.44
60,198,224.6,225.11
120,197.9,224.2,225.01
180,197.7,223.6,225
240,197.7,223.2,224.97
300,197.5,222.6,225.03
360,197.4,221.8,224.24
420,197.3,221.2,224.08
480,197.3,220.6,224.01
540,197.2,220.4,223.81
600,197.1,219.8,223.68
660,197,218.7,223.52
720,197,217.5,223.48
